"Story","Title","Result","Date","Stability","Duration (s)"
"LT-102 Map Legends","The Legend section and meaning","SUCCESS","2020-05-19T10:46:12.465+10:00[Australia/Sydney]","0.0","17.57"
"LT-22 Map Feature Panel","Incident section on map features panel","SUCCESS","2020-05-19T10:46:30.046+10:00[Australia/Sydney]","0.0","19.12"
"LT-22 Map Feature Panel","Order of map filter incident icons in Map View","SUCCESS","2020-05-19T10:46:49.17+10:00[Australia/Sydney]","0.0","6.64"
"LT-22 Map Feature Panel","Filter for Live Traffic Cameras","SUCCESS","2020-05-19T10:46:55.817+10:00[Australia/Sydney]","0.0","13.85"
"LT-22 Map Feature Panel","Filter for Live Traffic Rest Areas","SUCCESS","2020-05-19T10:47:09.673+10:00[Australia/Sydney]","0.0","13.15"
"LT-22 Map Feature Panel","Filter for Heavy Vehicle Checking stations","SUCCESS","2020-05-19T10:47:22.832+10:00[Australia/Sydney]","0.0","11.65"
"LT-22 Map Feature Panel","Filter for future incidents","SUCCESS","2020-05-19T10:47:34.493+10:00[Australia/Sydney]","0.0","17.79"
"LT-52 Refresh Incident Data","Map View - Refresh Data Time Stamp","SUCCESS","2020-05-19T10:47:52.287+10:00[Australia/Sydney]","0.0","64.35"
"LT-48 Trip Plan A to B","Clear Trip Plan","SUCCESS","2020-05-19T10:50:14.046+10:00[Australia/Sydney]","0.0","18.85"
"LT-48 Trip Plan A to B","Incidents on route list front end","SUCCESS","2020-05-19T10:51:01.241+10:00[Australia/Sydney]","0.0","23.51"
"LT-273 Text View of Incidents","Text View - Home page","SUCCESS","2020-05-19T10:51:35.227+10:00[Australia/Sydney]","0.0","9.97"
"LT-273 Text View of Incidents","Text View - Map filter Incidents icons in right order","SUCCESS","2020-05-19T10:51:45.2+10:00[Australia/Sydney]","0.0","8.92"
"LT-273 Text View of Incidents","Text View - Refresh Data Time Stamp and Toggle","SUCCESS","2020-05-19T10:51:54.127+10:00[Australia/Sydney]","0.0","68.36"
"LT-273 Text View of Incidents","Incident filters for text view list","SUCCESS","2020-05-19T10:53:02.496+10:00[Australia/Sydney]","0.0","25.97"
"LT-273 Text View of Incidents","Text View - Ended Incident details","SUCCESS","2020-05-19T10:53:28.473+10:00[Australia/Sydney]","0.0","14.41"
"LT-273 Text View of Incidents","Text View - Accordion Functionality for incident cards","SUCCESS","2020-05-19T10:53:42.889+10:00[Australia/Sydney]","0.0","25.38"
"LT-273 Text View of Incidents","All Sydney and All Regional filters","SUCCESS","2020-05-19T10:54:08.293+10:00[Australia/Sydney]","0.0","14.57"
