"Story","Title","Result","Date","Stability","Duration (s)"
"LT-15 Incident Details","Incident title and Incident type label","SUCCESS","2020-05-19T10:59:01.544+10:00[Australia/Sydney]","0.0","11.18"
"LT-15 Incident Details","Show incident summary card","SUCCESS","2020-05-19T10:59:12.734+10:00[Australia/Sydney]","0.0","12.13"
"LT-15 Incident Details","Show traffic condition and impact","SUCCESS","2020-05-19T10:59:24.876+10:00[Australia/Sydney]","0.0","10.95"
"LT-15 Incident Details","Incident started and last checked day date and time details","SUCCESS","2020-05-19T10:59:35.848+10:00[Australia/Sydney]","0.0","11.37"
"LT-15 Incident Details","Planned incident - impact on lanes and roads","SUCCESS","2020-05-19T10:59:47.247+10:00[Australia/Sydney]","0.0","9.84"
"LT-15 Incident Details","Unplanned incident - impact on lanes and roads","SUCCESS","2020-05-19T10:59:57.098+10:00[Australia/Sydney]","0.0","10.28"
"LT-15 Incident Details","Public Transport Diversion and Other Advice","SUCCESS","2020-05-19T11:00:07.396+10:00[Australia/Sydney]","0.0","10.08"
"LT-15 Incident Details","Traffic advice snippets","SUCCESS","2020-05-19T11:00:17.496+10:00[Australia/Sydney]","0.0","9.77"
"LT-15 Incident Details","Traffic arrangements accordions","SUCCESS","2020-05-19T11:00:27.282+10:00[Australia/Sydney]","0.0","15.09"
"LT-15 Incident Details","Traffic advice info","SUCCESS","2020-05-19T11:00:42.396+10:00[Australia/Sydney]","0.0","15.52"
