"Story","Title","Result","Date","Stability","Duration (s)"
"LT-3 Main Menu","Verify display of menu items and page footers","SUCCESS","2020-05-19T10:56:39.529+10:00[Australia/Sydney]","0.0","6.12"
"LT-3 Main Menu","Verify display of options in the homepage side menu bar","SUCCESS","2020-05-19T10:56:45.672+10:00[Australia/Sydney]","0.0","7.15"
"LT-3 Main Menu","Navigate to Live Traffic NSW - Facebook","SUCCESS","2020-05-19T10:56:52.843+10:00[Australia/Sydney]","0.0","11.84"
"LT-3 Main Menu","Navigate to Live Traffic Sydney - Twitter","SUCCESS","2020-05-19T10:57:04.711+10:00[Australia/Sydney]","0.0","8.75"
"LT-3 Main Menu","Navigate to Live Traffic NSW - Twitter","SUCCESS","2020-05-19T10:57:13.498+10:00[Australia/Sydney]","0.0","9.17"
"LT-3 Main Menu","Navigate to Online Privacy Page","SUCCESS","2020-05-19T10:57:22.698+10:00[Australia/Sydney]","0.0","8.58"
"LT-3 Main Menu","Navigate to Copyright Page","SUCCESS","2020-05-19T10:57:31.306+10:00[Australia/Sydney]","0.0","8.62"
"LT-3 Main Menu","Navigate to Transport for NSW Home page from LiveTraffic Website","SUCCESS","2020-05-19T10:57:39.955+10:00[Australia/Sydney]","0.0","8.78"
"LT-3 Main Menu","Navigate to Terms and Condition Page","SUCCESS","2020-05-19T10:57:48.759+10:00[Australia/Sydney]","0.0","5.72"
"LT-3 Main Menu","Navigate to Help Page","SUCCESS","2020-05-19T10:57:54.495+10:00[Australia/Sydney]","0.0","5.56"
"LT-3 Main Menu","Map Native Controls","SUCCESS","2020-05-19T10:58:00.073+10:00[Australia/Sydney]","0.0","2.96"
