"Story","Title","Result","Date","Stability","Duration (s)"
"LT-56 Traffic Camera LHS panel","Viewing Selected Camera output","SUCCESS","2020-05-19T11:00:57.957+10:00[Australia/Sydney]","0.0","17.98"
"LT-56 Traffic Camera LHS panel","View Camera Region - Inner Sydney","SUCCESS","2020-05-19T11:01:15.955+10:00[Australia/Sydney]","0.0","11.72"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney North","SUCCESS","2020-05-19T11:01:27.682+10:00[Australia/Sydney]","0.0","11.03"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney West","SUCCESS","2020-05-19T11:01:38.724+10:00[Australia/Sydney]","0.0","10.5"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney South","SUCCESS","2020-05-19T11:01:49.239+10:00[Australia/Sydney]","0.0","10.93"
"LT-56 Traffic Camera LHS panel","View Camera Region - Regional North","SUCCESS","2020-05-19T11:02:00.18+10:00[Australia/Sydney]","0.0","10.82"
"LT-56 Traffic Camera LHS panel","View Camera Region - Regional South","SUCCESS","2020-05-19T11:02:11.013+10:00[Australia/Sydney]","0.0","10.18"
"LT-56 Traffic Camera LHS panel","View Camera Region - All Regional","SUCCESS","2020-05-19T11:02:21.205+10:00[Australia/Sydney]","0.0","12.56"
"LT-56 Traffic Camera LHS panel","View Camera Region - All NSW","SUCCESS","2020-05-19T11:02:33.777+10:00[Australia/Sydney]","0.0","14.79"
"LT-56 Traffic Camera LHS panel","View Camera Region - All Sydney","SUCCESS","2020-05-19T11:02:48.588+10:00[Australia/Sydney]","0.0","15.57"
"LT-62 View Live Traffic Camera","Place webcamera icons on map","SUCCESS","2020-05-19T11:03:04.172+10:00[Australia/Sydney]","0.0","14.91"
"LT-62 View Live Traffic Camera","Tag each camera feed with the relevant URI","SUCCESS","2020-05-19T11:03:19.099+10:00[Australia/Sydney]","0.0","10.13"
"LT-82 Live Traffic Camera Feed Refresh","Request to refresh camera feed","SUCCESS","2020-05-19T11:03:29.259+10:00[Australia/Sydney]","0.0","74.56"
"LT-82 Live Traffic Camera Feed Refresh","Update refresh time stamp on Map screen","SUCCESS","2020-05-19T11:04:43.858+10:00[Australia/Sydney]","0.0","64.12"
